unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,compact_idle_pressure
1786593076,3321256,14240,83886080,20123172864,1903,0,249,249,86,5.8,585258,2168455168,570425344,33554432,6816082,907595,19172,0,275689968,0
1786593086,3307280,14240,83886080,20127367168,1903,0,249,249,109,5.8,586497,2155872256,570425344,33554432,6816082,912370,19176,0,278132856,0
1786593096,3307776,14240,83886080,20129472512,1903,0,253,253,68,5.8,586127,2155872256,570425344,33554432,4194512,917645,19178,0,280849272,0
1786593106,3313500,14240,83886080,20136820736,1902,0,253,253,94,5.8,592544,2161115136,570425344,33554432,6816082,932726,19185,0,288687264,0
1786593117,3308056,14240,83886080,20137869312,1902,0,253,253,104,5.8,589995,2155872256,570425344,33554432,6816082,934412,19186,0,289537192,0
1786593127,3308028,14240,83886080,20139966464,1902,0,253,253,124,5.8,585157,2155872256,570425344,33554432,6816082,938259,19188,0,291514768,0
1786593137,3309812,14240,83886080,20144160768,1902,0,257,257,89,5.8,595694,2156920832,570425344,33554432,6816082,947725,19192,0,296474952,0
1786593147,3307952,14240,83886080,20148371456,1902,0,257,257,109,5.8,591517,2155872256,570425344,33554432,6816082,952056,19196,0,298756448,0
1786593157,3309740,14240,83886080,20150468608,1901,0,261,261,73,5.8,585250,2157969408,570425344,33554432,6816082,957867,19198,0,301705520,0
1786593167,3308900,14240,83886080,20160954368,1901,0,263,263,72,5.8,589246,2155872256,570425344,33554432,6816082,979968,19208,0,313339368,0
1786593178,3309280,14240,83886080,20162007040,1901,0,263,263,81,5.8,587749,2156920832,570425344,33554432,6816082,980777,19209,0,313728176,0
1786593188,3308596,14240,83886080,20165165056,1900,0,265,264,86,5.8,587307,2155872256,570425344,33554432,4718826,987593,19212,0,317225352,0
1786593198,3308656,14240,83886080,20165165056,1900,0,268,268,75,5.8,585215,2155872256,570425344,33554432,6816082,1016321,19212,0,317286136,0
1786593208,3308848,14240,83886080,20165165056,1900,0,272,272,53,5.8,587593,2155872256,570425344,33554432,6816082,1026024,19212,0,317490496,0
1786593219,3307524,14240,83886080,20167262208,1900,0,272,272,80,5.9,586882,2155872256,570425344,33554432,6816082,1041870,19214,0,318228288,0
1786593229,3307840,14240,83886080,20167262208,1900,0,276,276,64,5.9,587711,2155872256,570425344,33554432,6816082,1047835,19214,0,318543736,0
1786593239,3307896,14240,83886080,20167262208,1900,0,276,276,77,5.9,587505,2155872256,570425344,33554432,6816082,1049273,19214,0,318601376,0
1786593249,3308152,14240,83886080,20167262208,1900,0,277,276,97,5.9,586321,2155872256,570425344,33554432,5767454,1054016,19214,0,318867568,0
1786593260,3310628,14240,83886080,20169359360,1900,0,280,280,79,5.9,588092,2157969408,570425344,33554432,6816082,1101464,19216,0,321410016,0
1786593270,3308908,14240,83886080,20169359360,1900,0,280,280,97,5.9,587932,2155872256,570425344,33554432,6816082,1107801,19216,0,321733848,0
1786593280,3313128,14240,83886080,20177747968,1899,0,284,284,83,5.9,588529,2160066560,570425344,33554432,6816082,1124123,19224,0,330253040,0
1786593290,3307364,14240,83886080,20181942272,1899,0,285,284,102,5.9,592816,2155872256,570425344,33554432,5767454,1129040,19228,0,332744136,0
1786593300,3307960,14240,83886080,20181942272,1899,0,287,285,100,5.8,595058,2155872256,570425344,33554432,3145884,1130294,19228,0,333351976,0
1786593310,3313496,14240,83886080,20188250112,1898,0,289,289,75,5.8,585242,2161115136,570425344,33554432,6816082,1143008,19234,0,340070704,0
1786593321,3308392,14240,83886080,20192444416,1898,0,292,291,81,5.8,591013,2156920832,570425344,33554432,5243140,1149083,19238,0,343235664,0
1786593331,3313748,14240,83886080,20202946560,1897,0,295,295,62,5.9,586570,2161115136,570425344,33554432,6816082,1171675,19248,0,355104264,0
1786593341,3308148,14240,83886080,20207140864,1897,0,295,295,82,5.8,585220,2155872256,570425344,33554432,6816082,1178734,19252,0,358775408,0
1786593351,3308780,14240,83886080,20211335168,1897,0,299,299,72,5.8,585147,2155872256,570425344,33554432,6816082,1187865,19256,0,363548000,0
1786593361,3308084,14240,83886080,20212387840,1897,0,299,299,81,5.8,588930,2155872256,570425344,33554432,6816082,1188543,19257,0,363883360,0
1786593371,3309300,14240,83886080,20218691584,1896,0,303,303,66,5.8,585387,2156920832,570425344,33554432,6816082,1201013,19263,0,370382008,0
1786593381,3308732,14240,83886080,20222885888,1896,0,307,306,62,5.8,585337,2155872256,570425344,33554432,5243140,1209982,19267,0,375035128,0
1786593392,3315548,14240,83886080,20238630912,1895,0,310,310,53,5.8,588550,2164260864,570425344,33554432,6816082,1237449,19282,0,389432552,0
1786593402,3308932,14240,83886080,20240728064,1894,0,310,310,75,5.8,585188,2155872256,570425344,33554432,6816082,1246738,19284,0,393070160,0
1786593412,3308936,14240,83886080,20240728064,1894,0,310,310,87,5.8,585157,2155872256,570425344,33554432,6816082,1248691,19284,0,393071208,0
1786593422,3308940,14240,83886080,20240728064,1894,0,314,314,76,5.8,591770,2155872256,570425344,33554432,4718826,1252077,19284,0,393073304,0
1786593432,3309368,14240,83886080,20242825216,1894,0,315,315,90,5.8,590786,2157969408,570425344,33554432,6816082,1291623,19286,0,393512416,0
1786593442,3307644,14240,83886080,20242825216,1894,0,318,318,67,5.8,586263,2155872256,570425344,33554432,4718826,1298601,19286,0,393844632,0
