unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb
1786087215,2006452,14240,83886080,16330936320,1618,0,1717,1717,35,7.7,618988
1786087225,2014560,14240,83886080,16360329216,1617,0,1721,1721,45,7.7,619326
1786087235,2002916,14240,83886080,16378171392,1617,0,1726,1726,47,7.7,621478
1786087245,2012060,14240,83886080,16391815168,1616,0,1730,1730,48,7.7,619780
1786087255,2003196,14240,83886080,16419102720,1616,0,1734,1734,51,7.7,622593
1786087266,2008796,14240,83886080,16448491520,1615,0,1742,1742,38,7.7,621820
1786087276,2003496,14240,83886080,16468434944,1615,0,1747,1747,43,7.7,621697
1786087286,2007988,14240,83886080,16496775168,1614,0,1754,1754,39,7.7,619755
1786087296,2004528,14240,83886080,16523010048,1613,0,1760,1760,40,7.7,617937
1786087306,2006612,14240,83886080,16542957568,1613,0,1767,1767,36,7.7,620961
1786087316,2005508,14240,83886080,16572342272,1612,0,1772,1772,41,7.7,619946
1786087326,2002484,14240,83886080,16594391040,1612,0,1779,1779,37,7.7,617938
1786087336,2004792,14240,83886080,16616427520,1611,0,1784,1784,38,7.7,622178
1786087346,2006140,14240,83886080,16643719168,1611,0,1791,1791,32,7.7,619110
1786087356,2011704,14240,83886080,16672055296,1610,0,1796,1796,41,7.7,620296
1786087366,2003480,14240,83886080,16694104064,1609,0,1804,1804,32,7.7,621838
1786087377,2009896,14240,83886080,16721383424,1608,0,1809,1809,40,7.7,621726
1786087387,2003684,14240,83886080,16750776320,1608,0,1816,1816,35,7.7,622537
1786087397,2008004,14240,83886080,16772816896,1607,0,1821,1821,40,7.7,621969
1786087407,2008396,14240,83886080,16793808896,1606,0,1825,1825,49,7.7,617945
1786087417,2005432,14240,83886080,16819003392,1605,0,1833,1833,36,7.7,623369
1786087427,2010864,14240,83886080,16842092544,1605,0,1837,1837,44,7.7,617899
1786087437,2002712,14240,83886080,16868331520,1604,0,1841,1841,53,7.7,617926
1786087448,2009084,14240,83886080,16895619072,1603,0,1849,1849,38,7.7,619078
1786087458,2001404,14240,83886080,16904019968,1602,0,1849,1849,59,7.7,623233
1786087468,2002432,14240,83886080,16925011968,1602,0,1857,1857,35,7.7,618037
