unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786241879,3338224,14240,83886080,21785788416,1604,0,513,513,64,7.1,617908,2155872256,570425344,33554432,6291768
1786241889,3337284,14240,83886080,21787885568,1601,0,516,516,71,7.1,620421,2155872256,570425344,33554432,6816082
1786241899,3337128,14240,83886080,21788934144,1598,0,518,518,85,7.1,617975,2155872256,570425344,33554432,6816082
1786241910,3337340,14240,83886080,21788934144,1598,0,522,522,67,7.1,621560,2155872256,570425344,33554432,6816082
1786241920,3337448,14240,83886080,21789982720,1594,0,522,522,102,7.1,620257,2155872256,570425344,33554432,6816082
1786241930,3338512,14240,83886080,21789982720,1591,0,526,526,82,7.1,620014,2155872256,570425344,33554432,6816082
1786241940,3339248,14240,83886080,21793132544,1588,0,530,530,73,7.1,618957,2157969408,570425344,33554432,6816082
1786241950,3341156,14240,83886080,21798383616,1586,0,534,534,67,7.1,621325,2160066560,570425344,33554432,6816082
1786241960,3338600,14240,83886080,21802582016,1584,0,538,538,62,7.1,618038,2157969408,570425344,33554432,6816082
1786241970,3337632,14240,83886080,21806780416,1581,0,540,540,71,7.1,620504,2155872256,570425344,33554432,6291768
1786241980,3341272,14240,83886080,21812035584,1578,0,543,543,76,7.1,622336,2159017984,570425344,33554432,7340396
1786241990,3339640,14240,83886080,21816229888,1576,0,546,546,78,7.1,618010,2156920832,570425344,33554432,7340396
1786242000,3339280,14240,83886080,21820424192,1574,0,550,550,68,7.1,620335,2156920832,570425344,33554432,7340396
1786242010,3338916,14240,83886080,21825675264,1571,0,554,554,57,7.1,617935,2156920832,570425344,33554432,7340396
1786242021,3337816,14240,83886080,21831974912,1569,0,556,556,72,7.1,621097,2156920832,570425344,33554432,6291768
1786242031,3341932,14240,83886080,21837217792,1566,0,559,559,78,7.1,620101,2159017984,570425344,33554432,7340396
1786242041,3342140,14240,83886080,21844561920,1565,0,563,563,71,7.1,620256,2160066560,570425344,33554432,7340396
1786242051,3340884,14240,83886080,21852962816,1562,0,567,567,64,7.1,622094,2159017984,570425344,33554432,7340396
1786242061,3340564,14240,83886080,21861355520,1560,0,571,571,57,7.1,619105,2159017984,570425344,33554432,7340396
1786242071,3338184,14240,83886080,21868707840,1559,0,575,575,53,7.2,619886,2156920832,570425344,33554432,5243140
1786242081,3343052,14240,83886080,21882351616,1557,0,576,576,75,7.2,622102,2162163712,570425344,33554432,7340396
1786242091,3347480,14240,83886080,21896003584,1555,0,580,580,71,7.2,618402,2165309440,570425344,33554432,6291768
1786242101,3343812,14240,83886080,21907542016,1554,0,583,583,72,7.2,617981,2162163712,570425344,33554432,7340396
1786242111,3345340,14240,83886080,21923282944,1552,0,587,587,62,7.2,620884,2164260864,570425344,33554432,7340396
1786242121,3341608,14240,83886080,21941125120,1551,0,591,591,58,7.2,620976,2161115136,570425344,33554432,5767454
