unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786695374,3299900,14240,83886080,20467445760,1877,0,292,292,64,6.0,579066,2155872256,570425344,33554432,6816082,1261506,19500,0,618465616,21978152960,0
1786695384,3299952,14240,83886080,20467445760,1877,0,292,292,91,6.0,581291,2155872256,570425344,33554432,6816082,1279263,19500,0,618514872,21978152960,0
1786695394,3300020,14240,83886080,20467445760,1877,0,296,296,73,6.0,579117,2155872256,570425344,33554432,6816082,1303207,19500,0,618582992,21978152960,0
1786695404,3300044,14240,83886080,20467445760,1877,0,296,296,97,6.0,581724,2155872256,570425344,33554432,6816082,1314165,19500,0,618607096,21978152960,0
1786695414,3300052,14240,83886080,20467445760,1877,0,296,296,105,6.0,581094,2155872256,570425344,33554432,6816082,1316316,19500,0,618615480,21978152960,0
1786695424,3300056,14240,83886080,20467445760,1877,0,300,300,78,6.0,579029,2155872256,570425344,33554432,6816082,1319922,19500,0,618623864,21978152960,0
1786695434,3300092,14240,83886080,20467445760,1876,0,303,302,78,6.0,579020,2155872256,570425344,33554432,5243140,1333946,19500,0,618659496,21978152960,0
1786695445,3300104,14240,83886080,20467445760,1876,0,306,305,66,6.0,586755,2155872256,570425344,33554432,4718826,1337851,19500,0,618669976,21978152960,0
1786695455,3300240,14240,83886080,20467445760,1876,0,309,309,57,6.0,580420,2155872256,570425344,33554432,6816082,1359716,19500,0,618811456,21978152960,0
1786695465,3300540,14240,83886080,20468498432,1876,0,310,310,75,6.0,579042,2156920832,570425344,33554432,6816082,1382685,19501,0,619116424,21978152960,0
1786695475,3299800,14240,83886080,20468498432,1876,0,314,314,73,6.0,581844,2155872256,570425344,33554432,6816082,1403519,19501,0,619413008,21978152960,0
1786695485,3300132,14240,83886080,20468498432,1875,0,314,314,100,6.0,579052,2155872256,570425344,33554432,6816082,1430307,19501,0,619752560,21978152960,0
1786695495,3300152,14240,83886080,20468498432,1875,0,314,314,111,6.0,581663,2155872256,570425344,33554432,6816082,1431789,19501,0,619767232,21978152960,0
1786695505,3300396,14240,83886080,20468498432,1875,0,318,318,82,6.0,579055,2155872256,570425344,33554432,6816082,1456637,19501,0,620021896,21978152960,0
1786695515,3300656,14240,83886080,20468498432,1875,0,319,319,94,6.0,585356,2155872256,570425344,33554432,6816082,1477083,19501,0,620288088,21978152960,0
1786695526,3301360,14240,83886080,20469547008,1875,0,323,323,70,6.0,580756,2156920832,570425344,33554432,6816082,1500508,19502,0,621011208,21978152960,0
1786695536,3300548,14240,83886080,20469547008,1875,0,323,323,93,6.0,579177,2155872256,570425344,33554432,6816082,1505362,19502,0,621226048,21978152960,0
1786695546,3300756,14240,83886080,20469547008,1875,0,327,327,68,6.0,580168,2155872256,570425344,33554432,6816082,1510463,19502,0,621436696,21978152960,0
