unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit
1785918110,597556,14240,83886080,0,0,0,8042,8042,13,7.3
1785918121,598924,14240,83886080,0,0,0,8073,8073,13,7.3
1785918131,598732,14240,83886080,0,0,0,8105,8105,13,7.3
1785918141,598176,14240,83886080,0,0,0,8139,8139,13,7.3
1785918151,597076,14240,83886080,0,0,0,8168,8167,15,7.3
1785918161,600940,14240,83886080,0,0,0,8202,8202,11,7.3
1785918171,599500,14240,83886080,0,0,0,8234,8234,14,7.3
1785918181,598228,14240,83886080,0,0,0,8265,8265,13,7.3
1785918191,597780,14240,83886080,0,0,0,8299,8299,13,7.3
1785918201,599692,14240,83886080,0,0,0,8331,8331,12,7.3
1785918211,599948,14240,83886080,0,0,0,8362,8362,11,7.3
1785918221,598328,14240,83886080,0,0,0,8394,8394,13,7.3
1785918231,602216,14240,83886080,0,0,0,8426,8426,12,7.3
1785918242,597420,14240,83886080,0,0,0,8460,8460,13,7.3
1785918252,599808,14240,83886080,0,0,0,8492,8492,13,7.3
1785918262,597688,14240,83886080,0,0,0,8524,8524,12,7.3
1785918272,598388,14240,83886080,0,0,0,8556,8556,13,7.3
1785918282,598144,14240,83886080,0,0,0,8590,8590,11,7.3
1785918292,599256,14240,83886080,0,0,0,8622,8622,12,7.3
1785918302,597564,14240,83886080,0,0,0,8654,8654,13,7.3
1785918312,598580,14240,83886080,0,0,0,8688,8688,12,7.3
1785918322,602776,14240,83886080,0,0,0,8718,8717,15,7.3
1785918332,596144,14240,83886080,0,0,0,8752,8752,12,7.3
1785918342,599524,14240,83886080,0,0,0,8784,8784,14,7.3
1785918353,598996,14240,83886080,0,0,0,8815,8815,14,7.3
1785918363,598660,14240,83886080,0,0,0,8849,8849,16,7.3
1785918373,600636,14240,83886080,0,0,0,8885,8885,12,7.3
1785918383,601468,14240,83886080,0,0,0,8917,8917,12,7.3
1785918393,597416,14240,83886080,0,0,0,8950,8950,12,7.3
1785918403,603260,14240,83886080,0,0,0,8980,8979,17,7.3
1785918413,600532,14240,83886080,0,0,0,9015,9015,14,7.3
1785918423,597748,14240,83886080,0,0,0,9049,9049,12,7.3
1785918433,605288,14240,83886080,0,0,0,9081,9081,12,7.3
1785918443,597668,14240,83886080,0,0,0,9115,9113,16,7.3
1785918453,604328,14240,83886080,0,0,0,9147,9147,15,7.3
1785918463,599184,14240,83886080,0,0,0,9179,9179,12,7.4
1785918473,599740,14240,83886080,0,0,0,9212,9211,15,7.4
1785918484,602964,14240,83886080,0,0,0,9245,9245,15,7.4
1785918494,599708,14240,83886080,0,0,0,9277,9277,16,7.4
1785918504,598968,14240,83886080,0,0,0,9311,9311,14,7.4
1785918514,596756,14240,83886080,0,0,0,9346,9345,13,7.4
