# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cpu_core/cycles/P'
# Event count (approx.): 17180652278
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b856c
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80f5b26
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7cd9
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8542
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7faf9c1
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa809e58d
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa611
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7e23
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa119
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa829cbd5
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa804d382
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b72b5
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bc3df
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8194929
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8932
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8179
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a941f
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa809e5a1
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b83bc
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8968
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8519
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d872c
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8836
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81784e2
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8561
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7ff95c9
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8811
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7cb9
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fc4333
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b83ce
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7c00ef4
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8777
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b816c
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b85a0
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7349
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7229
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa88dbed7
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a91c9
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b724d
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7e84
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b837d
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7244
     0.00%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] clap_builder::parser::validator::Validator::validate
